age,annual_income,employment_years,monthly_expenses,savings_balance,credit_score,active_loans,delayed_payments,total_debt,loan_amount,loan_purpose,residence_type,dependents,debt_to_income,loan_to_income,expense_to_income,savings_to_loan_ratio,target_risk_class
64,143644,40,7208,9149,512,2,0,64538,314249,Debt Consolidation,Rented,4,0.4492881757109541,2.1876779560722617,0.6021511364823001,0.02911376292760541,High Risk
72,158591,40,8017,36444,757,3,0,35106,240926,Education,Rented,0,0.22136047215496368,1.5191560734463276,0.606613196125908,0.15126573609433563,Low Risk
54,76293,32,2372,17736,324,2,0,119610,412174,Business,Rented,2,1.5677510682360343,5.402443180328729,0.373083073374053,0.04303026627039486,Fraud Suspected
74,50962,40,1967,675,355,2,1,117754,78030,Education,Mortgaged,0,2.310578262661146,1.5311108058787748,0.46315954712242213,0.008650408171111481,Fraud Suspected
60,80622,40,3471,4595,396,3,0,96939,363463,Debt Consolidation,Rented,0,1.2023740123786015,4.508180047877157,0.5166267690361311,0.012642242422908458,Fraud Suspected
20,50428,0,1423,146,721,1,1,31434,52702,Home,Mortgaged,3,0.6233318130440818,1.0450732713319717,0.33861468599417,0.00277024078325712,High Risk
20,87441,1,4296,102,700,1,1,35827,193225,Personal,Mortgaged,0,0.4097230163994419,2.2097504631641547,0.5895565060268521,0.0005278792709055717,High Risk
31,76355,11,3436,146579,487,1,0,14920,471698,Debt Consolidation,Rented,4,0.1954004924301954,6.177615380585678,0.53999685682854,0.3107468957958359,Medium Risk
21,48596,2,2510,14753,745,3,1,49548,100395,Education,Rented,1,1.0195691092042718,2.065868263473054,0.619791345144762,0.14694808558109884,High Risk
26,71451,8,2716,24630,631,1,1,3340,482473,Debt Consolidation,Rented,1,0.046744667748978334,6.752407210434978,0.4561383866091922,0.051049382971932164,Low Risk
69,38824,40,2297,528,455,3,0,37104,83379,Education,Mortgaged,3,0.9556728911783644,2.147559562137798,0.7099549259497746,0.0063324538258575196,Fraud Suspected
40,38748,20,904,2607,551,2,0,30220,330702,Home,Mortgaged,2,0.7798910939637151,8.534465405558853,0.27995561175772277,0.007883206381556864,Fraud Suspected
36,57579,16,3729,1809,627,0,2,0,316740,Business,Rented,2,0.0,5.500868357068427,0.7771448419590136,0.005711290928550456,Medium Risk
34,248528,12,12948,687,372,2,0,31544,11960,Auto,Owned,4,0.12692281383661463,0.04812315665375067,0.625182574266987,0.057436669174818156,High Risk
52,73097,31,1818,39813,502,0,0,0,351052,Personal,Owned,2,0.0,4.802484336096747,0.2984486579660182,0.11341022580635972,Medium Risk
55,44542,37,934,17163,323,2,3,17592,293281,Education,Mortgaged,0,0.3949442112116382,6.584221987742182,0.2516220281525717,0.058520468354689346,High Risk
71,86907,40,4222,3011,578,1,1,57352,452641,Home,Rented,0,0.6599162332581581,5.208277718967183,0.5829612924011598,0.006652056150335144,High Risk
70,143926,40,8332,3787,830,2,1,84448,256699,Auto,Mortgaged,0,0.5867418899858956,1.7835360981608732,0.6946855002883406,0.014752629528632644,High Risk
26,32125,7,843,133205,676,0,0,0,451107,Debt Consolidation,Owned,4,0.0,14.041804146174439,0.3148851397621864,0.2952840561462,Low Risk
56,108373,38,6826,114335,627,3,0,72675,282180,Personal,Rented,0,0.6705944230165907,2.6037610496982673,0.7558270433867902,0.4051831980182932,Medium Risk
39,124850,17,7556,20748,355,4,0,48864,129624,Personal,Owned,3,0.391378523199654,1.0382295696470192,0.7262416800826585,0.16006171648987463,Medium Risk
71,122858,40,5840,15818,833,6,0,299148,182527,Education,Mortgaged,4,2.434888774937123,1.4856624260330948,0.5704099821746881,0.08666067671809256,High Risk
54,21990,32,870,5063,540,1,0,51843,110001,Education,Mortgaged,4,2.357464417261607,5.002091764812878,0.4747396662270929,0.04602643588298395,High Risk
69,34780,40,1483,36561,724,3,1,65250,24585,Auto,Rented,3,1.876024266122308,0.7068514418791869,0.5116586642132198,1.4870658098104612,High Risk
46,155929,25,6799,9596,643,4,0,25328,53603,Education,Owned,0,0.16243186045020203,0.3437632270890784,0.523234784839351,0.1790164913066189,Low Risk
71,66391,40,4153,24751,557,1,1,40879,422666,Auto,Owned,3,0.6157217737076757,6.366218821544765,0.750632606338113,0.05855910208272706,High Risk
26,186757,7,4798,401,422,0,0,0,81939,Debt Consolidation,Owned,3,0.0,0.4387442572741195,0.3082920142644492,0.004893824749816939,High Risk
27,33274,6,1874,1875,510,3,0,176046,70393,Personal,Owned,0,5.2906386175807665,2.1154921111945906,0.6758226897069872,0.026635792823251982,Fraud Suspected
19,115213,0,2665,7118,843,1,0,32955,470849,Personal,Owned,2,0.2860329473848664,4.08673425104588,0.27757043414862775,0.015117340979080386,Low Risk
22,21343,3,1414,3389,422,2,0,64786,440059,Auto,Mortgaged,0,3.035326086956522,20.617456896551722,0.7949775112443778,0.007701222560559924,Fraud Suspected
64,68259,40,2599,51054,725,4,0,101460,57798,Auto,Mortgaged,1,1.4863756226193965,0.8467330794022854,0.4569000878992089,0.8833024792816485,High Risk
39,90973,20,1627,687,544,0,1,0,271965,Auto,Owned,2,0.0,2.9894805109152065,0.21461076791171105,0.0025260510504989593,High Risk
54,129876,33,3942,12193,588,4,0,203320,5025,Personal,Mortgaged,2,1.5654811860452582,0.03869045327502175,0.36422153268092117,2.4259848786311182,High Risk
31,53417,11,2286,791,800,2,2,8626,391437,Home,Rented,0,0.1614811486764761,7.327810850275188,0.513534763562844,0.002020754244605787,Medium Risk
65,35470,40,1334,1663,847,2,1,16242,261725,Home,Rented,2,0.45789518197964535,7.378562769586423,0.451298243635646,0.006353973239189075,High Risk
59,59527,40,2804,2956,801,3,0,104769,432662,Auto,Owned,1,1.7599952963311383,7.268209918021771,0.5652466066388926,0.006832107205839186,High Risk
60,29627,39,991,1799,706,0,1,0,265089,Auto,Rented,0,0.0,8.94724584852167,0.40137707573916565,0.006786374438869818,Medium Risk
22,112498,1,2956,30859,631,2,0,97726,160743,Education,Owned,0,0.8686832771846861,1.428839367461044,0.3153094694175059,0.1919760613148858,High Risk
18,82388,0,4218,124962,350,2,1,81696,128389,Personal,Rented,0,0.9915886829552489,1.558326961123451,0.614353857917926,0.9733001012539917,Fraud Suspected
59,91190,38,5789,13151,597,4,2,130028,63446,Education,Mortgaged,2,1.4258863265015187,0.6957484839512671,0.7617857025364345,0.20727536368937854,Fraud Suspected
27,55312,7,2730,35125,508,4,0,91204,201469,Home,Mortgaged,0,1.6488709706578923,3.642344475982138,0.5922658326252418,0.17434357472576562,High Risk
24,71505,3,2534,27429,641,1,1,46825,238492,Business,Owned,0,0.6548401532738511,3.3352725645400385,0.42525102788577185,0.11500966485389508,Medium Risk
61,15158,40,679,41174,807,3,0,175395,420422,Business,Rented,0,11.570354245002969,27.734151329243353,0.5375024737779537,0.09793469910066765,High Risk
68,36749,40,1940,2354,676,1,0,10690,433959,Home,Mortgaged,1,0.2908843537414966,11.808408163265305,0.6334693877551021,0.005424463084155222,Low Risk
30,100086,9,2006,2372,413,4,3,133948,485249,Home,Mortgaged,4,1.3383156653711272,4.84827200335708,0.24051075564259095,0.004888201957753735,Fraud Suspected
70,63445,40,2871,2689,619,0,0,0,480714,Business,Rented,1,0.0,7.5767424266305206,0.543012955899505,0.0055937509751099925,Low Risk
61,75711,39,2916,21504,395,3,0,137166,468278,Auto,Owned,4,1.8116811073541843,6.184990490278952,0.4621724429416737,0.045921341764204676,Fraud Suspected
40,55363,18,1840,3914,599,2,1,112582,122233,Business,Rented,0,2.0334874647785566,2.207806516870168,0.3988151145148472,0.03202055074692802,Fraud Suspected
18,68587,0,2013,28045,677,2,2,77902,5197,Debt Consolidation,Owned,3,1.1357963492156062,0.07577127194261386,0.35218988744386776,5.395344363216622,High Risk
72,90690,40,4453,46760,742,2,2,106780,345962,Education,Mortgaged,3,1.1774045936200945,3.8147335457763174,0.589209513623182,0.13515896208554093,High Risk
50,17982,30,678,4363,553,2,0,51544,338144,Business,Rented,0,2.866262581326809,18.803536673524995,0.4524272924428627,0.012902748820772154,Fraud Suspected
36,77080,16,3508,11618,339,2,0,100754,210433,Education,Owned,0,1.3071184857487579,2.7300242601938223,0.5461268016761588,0.05520970945759716,Fraud Suspected
57,73529,37,4211,7764,634,0,0,0,294039,Education,Owned,4,0.0,3.9988984088127295,0.6872297021623827,0.026404570806692968,Low Risk
37,80923,18,3782,47445,668,0,0,0,203998,Personal,Mortgaged,3,0.0,2.520859077653107,0.5608225001235727,0.23257466948367395,Low Risk
41,34380,22,762,2769,365,4,0,189416,148674,Personal,Owned,2,5.509322009249295,4.324307030045665,0.26596085046973617,0.018624516562972926,Fraud Suspected
73,65351,40,4009,10081,555,3,0,82626,85138,Debt Consolidation,Rented,4,1.264322438486963,1.302760435793855,0.7361366140286448,0.11840637075840683,High Risk
42,87791,21,4771,5257,500,4,2,208124,413212,Home,Rented,4,2.370648806269364,4.706715873883725,0.6521323127392018,0.012722252204069088,Fraud Suspected
39,20491,20,457,12962,514,1,1,3992,323026,Business,Rented,3,0.19480772984579348,15.763517470232285,0.26761663088034354,0.0401266767174261,Medium Risk
49,135812,29,3992,3431,725,1,1,53986,128292,Home,Owned,1,0.39750244821924263,0.9446223851914028,0.35272028450884674,0.026743470025644422,Medium Risk
21,106393,2,6890,8230,513,1,0,45161,117519,Auto,Owned,0,0.42446942496757334,1.104564167152283,0.7771114912495065,0.07003063308373043,High Risk
47,48922,25,1015,26894,810,3,0,93156,126559,Debt Consolidation,Mortgaged,0,1.9041350693947632,2.586901866197903,0.24896265560165975,0.2125,High Risk
27,40598,6,1349,584,568,4,0,67132,304800,Education,Rented,3,1.653538264489273,7.507574078179266,0.39872903273479643,0.0019160042125846044,Fraud Suspected
72,131519,40,5844,4094,307,2,2,108216,106783,Debt Consolidation,Owned,0,0.8228102189781021,0.8119145377128953,0.5332116788321168,0.03833907701528319,Fraud Suspected
41,41546,21,2605,7482,835,3,1,99330,410205,Home,Rented,4,2.390786338363781,9.873276048812189,0.752400895371507,0.018239616192839696,High Risk
42,36129,22,756,3680,818,3,2,47700,290061,Auto,Owned,3,1.3202324937724883,8.028259064489344,0.2510932742872959,0.012686942791541119,High Risk
68,94019,40,4636,2440,681,2,0,56444,460979,Education,Rented,3,0.6003403531163582,4.902988725803021,0.5917038927887683,0.005293071282918999,Medium Risk
42,57257,22,1395,15896,594,3,0,92835,35807,Debt Consolidation,Rented,1,1.6213454888399874,0.6253623947745294,0.29236089280100597,0.443923145665773,High Risk
42,139000,24,7190,1372,849,5,1,186505,75524,Education,Mortgaged,0,1.34175293702923,0.5433342206171179,0.6207149588851879,0.018166170142336974,High Risk
25,22188,3,499,17099,494,3,0,138495,101743,Debt Consolidation,Rented,4,6.2416062012709,4.585290008562802,0.2698634458515481,0.1680590501651203,Fraud Suspected
22,166591,0,9850,14603,585,1,0,55643,43218,Home,Mortgaged,4,0.33400763542066847,0.2594242220514791,0.7095178640030734,0.33788380110599503,Medium Risk
67,36432,40,1948,2006,819,0,0,0,380398,Business,Owned,0,0.0,10.44102873768287,0.6416161172563335,0.005273410287619053,Low Risk
34,145647,12,6549,1075,679,4,0,214588,27020,Personal,Rented,2,1.4733329671536857,0.185515764033835,0.5395748654289795,0.03978387180341216,High Risk
20,79807,1,1870,94507,741,2,0,114400,429169,Education,Owned,3,1.4334402566158782,5.377518544506817,0.2811748195669607,0.22020877507747513,High Risk
29,93319,9,5222,18317,364,0,0,0,256496,Home,Mortgaged,0,0.0,2.7485640805829403,0.6714959279897128,0.07141214127260748,Medium Risk
40,138510,19,5080,86069,562,2,0,82520,147439,Education,Mortgaged,1,0.5957649572958105,1.0644569745363184,0.4401094497909913,0.5837561041779707,High Risk
25,49967,3,2460,11482,331,3,0,164298,48179,Business,Rented,2,3.288064361191162,0.9641970861351264,0.590778097982709,0.23831465338314653,Fraud Suspected
71,99649,40,1810,23776,564,1,0,8738,211962,Debt Consolidation,Mortgaged,0,0.08768690416457602,2.1270647265429004,0.21796287004515805,0.11217052032666079,Medium Risk
42,164501,23,4493,14516,401,5,0,191265,265160,Debt Consolidation,Rented,2,1.1626910311120837,1.6118952961058224,0.3277528540686435,0.054744098868234774,Fraud Suspected
74,216802,40,9276,32953,370,2,0,45220,452269,Education,Rented,0,0.20857644958787472,2.086082757157419,0.5134246297329834,0.07286134388750083,Medium Risk
30,86576,11,5346,12659,402,2,0,14096,368299,Debt Consolidation,Rented,3,0.16281460434064474,4.254005105282003,0.7409820160088707,0.034371436329079554,Medium Risk
36,43599,17,2004,11971,582,1,0,33737,231375,Debt Consolidation,Rented,4,0.7737844036697248,5.3067660550458715,0.551559633027523,0.051738296106769936,High Risk
69,96199,40,2497,2854,826,0,1,0,490612,Debt Consolidation,Mortgaged,0,0.0,5.0999168399168395,0.31147609147609145,0.005817212344556707,Medium Risk
48,79086,28,1934,3162,499,1,1,9146,336098,Auto,Owned,2,0.1156447962370554,4.249724986407374,0.2934489865591058,0.009407942302714379,High Risk
51,39274,32,2488,69539,306,0,0,0,428574,Education,Owned,1,0.0,10.912132399745385,0.7601782304264799,0.16225631453071224,Medium Risk
35,138190,13,5475,17370,533,3,2,21522,314612,Education,Mortgaged,3,0.15574096721204708,2.276646091279461,0.47542893531416663,0.05521068741596819,Medium Risk
55,41967,33,1105,6166,421,2,1,115596,223085,Education,Owned,3,2.75438429279451,5.315597598170035,0.3159550133434998,0.02763956501080301,Fraud Suspected
46,53955,27,2877,16637,360,0,0,0,73100,Education,Mortgaged,1,0.0,1.3548076210245386,0.6398546964193046,0.22758922586558322,Medium Risk
19,45929,1,1706,39825,639,3,0,91131,249770,Education,Rented,1,1.9841280209013716,5.438057914217287,0.4457217504898759,0.1594460525841671,High Risk
66,72437,40,3578,1854,578,1,1,46854,52558,Education,Rented,3,0.6468152074877827,0.7255584085700876,0.5927275739252879,0.03527464373370878,High Risk
53,82125,35,2249,13759,634,2,1,87548,220250,Personal,Mortgaged,3,1.0660205050775637,2.6818547110537465,0.32861700314151426,0.06246963691424783,High Risk
59,91011,38,2066,12817,638,1,0,40864,441855,Home,Owned,2,0.44899573682591304,4.854909242737222,0.2724036390805608,0.029007187862108923,Medium Risk
63,49675,40,1890,50207,781,5,1,127495,480108,Auto,Owned,2,2.5665311216684112,9.664787825106691,0.45655849907399954,0.10457416961564978,High Risk
61,48147,40,3075,4345,655,4,1,19836,81762,Personal,Owned,0,0.4119797291683974,1.6981390711971422,0.76638697349838,0.05314139647517826,High Risk
59,143212,40,4490,4650,535,3,0,95139,227268,Personal,Owned,1,0.6643181834051378,1.5869229748695999,0.3762228289331276,0.020460335549503012,High Risk
45,64291,27,2575,20104,410,1,1,31245,403645,Business,Mortgaged,0,0.48598581472033847,6.278308343184222,0.48061967274310957,0.049806018144611865,High Risk
52,93448,33,2212,29014,582,5,2,146005,201255,Education,Mortgaged,1,1.5624030219692024,2.1536346028314908,0.2840479833920106,0.1441646460229757,Fraud Suspected
73,60395,40,3858,200184,763,1,0,42533,139706,Education,Mortgaged,4,0.7042353798264785,2.313166434863236,0.7665408305185774,1.4328845369237047,High Risk
62,45325,40,1917,1116,312,3,2,164652,337672,Education,Owned,1,3.632617040991925,7.449852181970613,0.5075232758240303,0.003304972562212555,Fraud Suspected
43,21408,22,428,6045,483,2,1,17222,365481,Business,Owned,4,0.8044280442804428,17.071371852959036,0.23989910785183802,0.01653980223376254,Fraud Suspected
27,56358,9,1223,16716,476,4,0,67112,185945,Business,Mortgaged,3,1.1907947266629997,3.2992955872176584,0.2604020653311805,0.08989706689038753,Fraud Suspected
73,123772,40,4859,8460,638,1,1,51037,262185,Home,Mortgaged,0,0.41234356442842945,2.1182729674484744,0.47108820178875843,0.032267169108953185,Medium Risk
60,64128,40,3681,1343,760,2,1,114136,403565,Personal,Mortgaged,1,1.7797876155873318,6.293018759063762,0.6887991392349795,0.003327832374382381,High Risk
74,155372,40,3172,2351,645,2,0,81090,486958,Auto,Mortgaged,2,0.5219053503504469,3.134122402219176,0.24498464984263676,0.0048279218578976876,Medium Risk
64,83028,40,4209,13004,621,0,0,0,424815,Education,Owned,4,0.0,5.116465331390237,0.6083175757867733,0.03061089977778615,Low Risk
69,95771,40,5750,16495,340,3,1,23697,175682,Home,Owned,1,0.24743139957398821,1.8343774798479722,0.7204610951008645,0.09389070086462549,High Risk
72,61670,40,1199,163972,525,4,1,179404,84559,Business,Rented,4,2.9090496343500187,1.371130677303757,0.23330252468745438,1.939120151371807,Fraud Suspected
45,129881,26,7314,27345,765,0,0,0,41227,Auto,Mortgaged,3,0.0,0.3174188879136447,0.6757518362821638,0.66326283108567,Low Risk
52,141365,30,8427,95103,426,5,1,203825,318115,Auto,Rented,3,1.4418247669170805,2.2502935642233637,0.7153346632146343,0.29895698424474093,Fraud Suspected
56,114777,35,3263,7970,653,3,1,9213,159627,Debt Consolidation,Rented,0,0.0802679956089146,1.3907456132708358,0.3411455156911603,0.04992858395770166,Low Risk
38,145947,17,4703,5016,811,1,1,12708,293459,Personal,Mortgaged,4,0.08707210787403732,2.0107092937210513,0.3866856688683641,0.017092619096299326,Low Risk
22,37722,2,1522,6381,613,2,1,115792,329640,Education,Rented,3,3.069533176046444,8.73843543726639,0.48416085677173076,0.019357422165325308,High Risk
38,267207,17,8768,835,568,2,0,112342,223907,Auto,Mortgaged,2,0.4204290290709859,0.8379502110715248,0.3937606658483279,0.003729210211336799,High Risk
35,83233,13,2987,2096,542,2,0,32016,217155,Home,Rented,4,0.38465050340005286,2.608969892111397,0.43064132445875486,0.009652047376079869,Medium Risk
52,76782,34,2883,14653,748,1,0,59727,447133,Home,Owned,0,0.7778674967115117,5.823333289920946,0.4505684852115703,0.032770936676700946,High Risk
36,147942,17,3429,5336,357,3,0,156921,350388,Home,Mortgaged,3,1.060685534293613,2.368398640016763,0.2781341462590322,0.015228788574983804,Fraud Suspected
31,128786,10,4675,1982,826,2,1,10828,26269,Home,Mortgaged,0,0.08407680899469668,0.2039724506355455,0.4356029723496937,0.07544727826417967,Medium Risk
62,74291,40,4402,88332,726,1,0,43390,368581,Home,Mortgaged,4,0.5840467345070802,4.961247509826092,0.7110321434340171,0.23965359133110137,Medium Risk
37,45493,19,2568,2497,788,2,1,63520,400229,Home,Rented,3,1.3962280740317405,8.797401855189696,0.6773640480063305,0.006238912625240487,High Risk
58,135388,38,2867,2558,725,0,1,0,325356,Auto,Owned,3,0.0,2.4031198989578177,0.25411222477453854,0.007862132980080342,Medium Risk
51,77408,33,3690,5081,505,4,1,87248,406111,Education,Owned,4,1.127104083504502,5.246302109573822,0.572026508545518,0.01251132692459223,Fraud Suspected
74,39302,40,2418,14465,669,5,0,222030,349443,Auto,Mortgaged,1,5.649187084955347,8.891000686970461,0.7382642546370506,0.04139432927736633,High Risk
73,49764,40,2628,146404,353,5,0,188900,324385,Home,Rented,4,3.795840450115543,6.518336180046218,0.6336983823972672,0.45132650607609454,Fraud Suspected
65,71681,40,2598,3926,432,4,1,108528,219342,Education,Mortgaged,2,1.5140202561312464,3.059931363522223,0.4349209006445133,0.017898907191020455,Fraud Suspected
65,36130,40,1510,3826,576,2,1,85554,132941,Debt Consolidation,Mortgaged,2,2.367883534914616,3.6794165674905206,0.5015083999889292,0.028779467737810475,Fraud Suspected
54,109147,34,5517,1481,438,0,0,0,235695,Home,Mortgaged,4,0.0,2.159407410122036,0.6065525708212702,0.00628351775168013,High Risk
66,19267,40,959,3221,565,1,1,48057,330113,Business,Rented,3,2.4941353539547437,17.13270707909487,0.597259705210712,0.009757235379293214,Fraud Suspected
74,166356,40,4778,38269,508,0,2,0,439914,Auto,Owned,0,0.0,2.6443972901651267,0.3446563715383182,0.08699180523510223,Medium Risk
49,66923,30,3094,1604,419,4,3,223600,246600,Business,Mortgaged,2,3.341103341103341,3.6847767616998386,0.5547785547785548,0.006504434288587637,Fraud Suspected
56,35352,36,1040,17376,539,2,0,103656,218779,Home,Rented,4,2.9320283992871894,6.1884139959833675,0.3530110598817639,0.07942225066276624,High Risk
35,122690,15,2987,7131,636,4,0,158716,84619,Business,Mortgaged,2,1.2936238191880416,0.6896919904475471,0.29214856835464703,0.08427085795320255,High Risk
50,24868,32,1254,1069,405,3,1,168765,303438,Auto,Owned,1,6.786159475652418,12.201455627488038,0.6050906751377216,0.0035229485992242264,Fraud Suspected
71,45966,40,1028,1274,436,0,1,0,442239,Auto,Mortgaged,2,0.0,9.620793177714447,0.2683664367916114,0.0028807887120115773,High Risk
26,127179,6,5277,30817,815,1,1,26093,492986,Business,Owned,2,0.20516590658908634,3.876285579493631,0.49790847617549927,0.06251077614622698,Low Risk
41,110860,21,5607,21609,625,3,0,116751,440105,Business,Rented,3,1.0531295947177095,3.9698812025870236,0.6069221818313023,0.049099535111995746,High Risk
61,53548,40,2666,79456,366,3,0,95049,17130,Business,Rented,3,1.7749911296196008,0.3198939289249099,0.5974341257539824,4.638141381121943,Fraud Suspected
29,101981,8,5060,8059,821,3,0,29712,291393,Personal,Mortgaged,4,0.2913455315643937,2.8572983467670765,0.5953991880920162,0.027656712217821917,Low Risk
59,76728,39,4169,29261,667,3,0,7305,278761,Personal,Rented,1,0.09520520272647891,3.6330592083827495,0.6520090187543172,0.10496767852146276,Low Risk
28,235991,8,8187,5472,595,2,0,78924,242360,Debt Consolidation,Rented,1,0.3344350655954439,1.0269839655581545,0.41630224753381473,0.022577890007055592,Medium Risk
67,84715,40,2722,27198,777,1,2,39554,45806,Personal,Rented,2,0.46690117569290335,0.5407006940837622,0.38557061239907453,0.5937520466304277,Medium Risk
31,67920,11,3543,18169,576,2,1,73384,446661,Home,Rented,0,1.0804316779788283,6.576184096229443,0.625962515275099,0.04067729065826061,Fraud Suspected
55,221015,35,8287,2033,686,4,0,130788,493189,Business,Owned,3,0.5917580627646867,2.231462880515438,0.4499402758171354,0.004122143595774448,Medium Risk
59,37699,40,1863,41962,438,4,1,175412,321840,Home,Owned,3,4.652838196286472,8.536870026525198,0.5929973474801061,0.1303811509409926,Fraud Suspected
68,93746,40,3337,997,358,2,2,62220,387126,Education,Owned,4,0.66370123843963,4.129476143236584,0.42714966878940125,0.002575382238903512,Fraud Suspected
70,93377,40,3579,528,602,1,1,9203,434896,Personal,Rented,4,0.09855640514896442,4.657371115251987,0.45993703013557796,0.0012140805754006121,Medium Risk
52,31469,30,664,7960,370,1,0,32929,193803,Business,Mortgaged,2,1.0463616142357801,6.158341277407055,0.25319351763584363,0.04107242368578564,Fraud Suspected
71,150072,40,4359,22488,552,2,1,88384,208201,Auto,Mortgaged,4,0.5889400491760677,1.3873314986706469,0.34855037215221923,0.10801048981277797,High Risk
39,181360,17,11685,4990,516,1,0,45656,51097,Debt Consolidation,Owned,2,0.2517410027514184,0.2817419401084026,0.7731540959743275,0.09765548553759443,Medium Risk
36,142906,16,6727,2175,463,2,1,118992,8429,Home,Owned,2,0.8326534039620173,0.05898241513711715,0.5648708600698357,0.2580071174377224,Fraud Suspected
47,71857,29,4602,4817,577,3,1,25644,327213,Debt Consolidation,Rented,3,0.3568704945865457,4.5536057223969495,0.7685156837095383,0.01472125275813382,High Risk
47,51201,29,1695,16133,446,0,2,0,96511,Debt Consolidation,Rented,4,0.0,1.8849068395765791,0.397250107417679,0.1671605603448276,High Risk
34,77838,14,1779,6879,837,2,1,38412,422177,Debt Consolidation,Rented,3,0.4934801320674726,5.423720756947032,0.27425840516964506,0.016294075011014313,Medium Risk
50,35088,29,1834,14797,692,4,0,58980,202395,Auto,Mortgaged,2,1.6808686482943374,5.7680469662857305,0.627205107013594,0.07310915235478962,High Risk
22,177232,3,8553,28220,486,1,3,28469,345039,Personal,Mortgaged,2,0.16063035664915676,1.9468101312960904,0.5791020859546473,0.08178761882680269,High Risk
48,38528,30,2547,5859,731,3,0,77418,291800,Education,Mortgaged,0,2.00934361130577,7.5735160528433125,0.7932725998598459,0.020078752300369086,High Risk
23,78387,5,1763,7737,703,2,0,114148,210677,Personal,Rented,1,1.4561922743277032,2.687618002755524,0.2698882482012553,0.03672429014894768,High Risk
72,55886,40,3213,21276,392,1,1,14020,51797,Home,Mortgaged,4,0.2508633492583248,0.9268166120922576,0.6898921037092705,0.410749449785706,High Risk
47,49168,28,1075,11686,606,2,1,102286,384990,Auto,Owned,2,2.080294494498566,7.829933494681608,0.2623604303524579,0.030353956326251784,High Risk
43,60526,24,3017,5461,495,1,0,52471,436072,Home,Rented,4,0.8669023741470748,7.204586382936541,0.5981462818246402,0.012523132594771976,Fraud Suspected
46,114330,24,2553,136114,312,1,2,17874,365089,Auto,Mortgaged,4,0.15633555203750513,3.1932634193700746,0.2679588213170531,0.37282313949984935,High Risk
55,26433,37,1153,718,645,0,0,0,109617,Personal,Mortgaged,4,0.0,4.146818491336915,0.5234168116819248,0.006550019157437647,Low Risk
28,103514,6,2022,13110,674,4,0,32640,53126,Home,Owned,2,0.31531662077959716,0.5132203062358113,0.23440081147659758,0.24676718052967417,Low Risk
55,80684,33,4054,2126,692,4,1,16880,100149,Debt Consolidation,Mortgaged,3,0.20920865092644234,1.2412344301914855,0.6029373489496189,0.021228157763354967,Medium Risk
54,117554,32,4914,10034,739,0,0,0,204342,Home,Mortgaged,0,0.0,1.738267194079367,0.5016205180553783,0.04910371287492109,Low Risk
46,142219,24,4513,12819,623,1,1,22155,236218,Debt Consolidation,Rented,4,0.15577977780902827,1.6609337645900717,0.38079032484882575,0.05426743826703186,Low Risk
42,158463,23,9964,10283,417,5,1,205555,182171,Business,Rented,1,1.2971715973344102,1.1496049575928917,0.754543618739903,0.056446654809740246,Fraud Suspected
51,13106,33,568,13358,739,1,1,2219,474603,Personal,Mortgaged,1,0.1692988479438468,36.20988784618906,0.5200274662394141,0.028145569780279982,Low Risk
19,51552,0,1718,3359,377,0,1,0,195760,Education,Rented,1,0.0,3.797257191628033,0.39989913293115825,0.01715867818411226,High Risk
50,114617,32,2671,889,663,1,1,14769,146586,Debt Consolidation,Owned,1,0.1288541066848139,1.2789090718735276,0.2796419410563786,0.006064657848240294,Medium Risk
65,241977,40,8397,5514,835,4,0,161640,397660,Personal,Mortgaged,0,0.6679946110803462,1.6433725379993223,0.4164180214730265,0.013866081913992068,Medium Risk
74,28789,40,1840,1988,696,0,2,0,309710,Personal,Rented,4,0.0,10.757554706495311,0.7669329628343174,0.00641888728524334,Medium Risk
64,67006,40,2743,3169,431,3,1,90258,337092,Education,Rented,3,1.346993597683824,5.03069828525378,0.49123225931619086,0.009400966498859365,Fraud Suspected
62,74470,40,1996,35631,664,2,0,114688,184498,Education,Mortgaged,2,1.5400357186018718,2.477447597051201,0.32162855339662416,0.1931229979566285,High Risk
69,147239,40,8231,4309,579,2,1,20732,371126,Debt Consolidation,Owned,0,0.14080412931268677,2.5205514805759304,0.6708231458842706,0.011610580744596864,High Risk
54,93194,36,1919,5301,563,3,0,141390,455407,Personal,Owned,1,1.5171414775470786,4.886603358549278,0.2470948012232416,0.011640111723992552,High Risk
48,32601,26,1733,14875,719,0,0,0,477806,Business,Mortgaged,1,0.0,14.655726642537267,0.6378749769952764,0.03113181682143627,Low Risk
62,98320,40,3653,35866,324,1,0,11569,297849,Education,Mortgaged,2,0.11766560551662412,3.029352834084275,0.44584575014493344,0.12041631693805607,Medium Risk
22,80040,4,2432,17566,480,2,0,29984,237790,Personal,Owned,0,0.37460801339313604,2.9708524381254606,0.36461313576791893,0.07387159312169089,Medium Risk
71,37513,40,2331,3505,644,3,1,140955,463593,Home,Mortgaged,1,3.757397238364344,12.35786639654529,0.745641627125873,0.007560494743245167,High Risk
18,38763,0,1189,4481,713,1,1,23983,272430,Business,Mortgaged,1,0.6186926013827262,7.027912496130431,0.3680734702301104,0.016448201562964566,High Risk
45,157158,25,6550,14452,388,3,0,63432,76762,Education,Rented,0,0.40361671937337346,0.4884352789213472,0.5001304411455914,0.18826778526112842,High Risk
